-DOCSTART- -X- -X- O
symptoms. O O O
(2)	Diabetes O O O
mellitus: O O O
FBS O O O
126, O O O
137, O O O
149, O O O
120, O O O
139, O O O
135, O O O
116. O O O
10:00 O O O
p.m. O O O
226, O O O
8:00 O O O
p.m. O O O
201, O O O
8:00 O O O
p.m. O O O
151. O O O
The O O O
patient O O O
does O O O
not O O O
check O O O
prior O O O
to O O O
supper. O O O
States O O O
she O O O
is O O O
fearful O O O
she O O O
will O O O
die O O O
during O O O
night O O O
if O O O
sugar O O O
gets O O O
too O O O
low, O O O
therefore, O O O
occasionally O O O
does O O O
not O O O
take O O O
pills O O O
before O O O
supper O O O
and O O O
gets O O O
higher O O O
readings O O O
at O O O
night O O O
in O O O
the O O O
240's O O O
to O O O
260's. O O O
Generally O O O
avoids O O O
sweets O O O
in O O O
diet. O O O
Takes O O O
evening O O O
pills O O O
with O O O
dinner O O O
at O O O
approximately O O O
4:00 O O O
or O O O
5:00. O O O
(3)	RHCM: O O O
Was O O O
scheduled O O O
Dr. O O O
Yelverton O O O
for O O O
a O O O
sigmoidoscopy O O O
9/16. O O O
Apparently O O O
is O O O
office O O O
called O O O
and O O O
cancelled O O O
it O O O
and O O O
patient O O O
is O O O
waiting O O O
to O O O
be O O O
rescheduled. O O O
(4)	HTN: O O O
No O O O
chest O O O
pain, O O O
shortness O O O
of O O O
breath O O O
or O O O
palpations. O O O
PE:	Blood O O O
pressure, O O O
right O O O
arm: O O O
142/80. O O O
Chest O O O
is O O O
clear. O O O
Cardiac O O O
regular O O O
rhythm O O O
at O O O
66, O O O
no O O O
murmur O O O
or O O O
gallop. O O O
Extremities: O O O
No O O O
edema. O O O
Labs O O O
from O O O
7/27: O O O
Hemoglobin O O O
A1C O O O
8.5 O O O
(197), O O O
BUN O O O
13, O O O
creatinine O O O
0.6, O O O
lytes O O O
normal, O O O
SGOT O O O
normal. O O O
CBC O O O
normal. O O O
Melissa O O O
Cummings O O O
HGH O O O
Unit O O O
No: O O O
265-01-73 O O O
SAINT O O O
VINCENT O O O
HOSPITAL O O O
ADULT O O O
MEDICINE O O O
Date: O O O
September O O O
20, O O O
2065 O O O
Page O O O
2 O O O
A/P:	(1)	Diabetes O O O
mellitus: O O O
Irregular O O O
control O O O
secondary O O O
to O O O
patient O O O
s O O O
self-adjustment O O O
of O O O
medicine. O O O
Have O O O
asked O O O
patient O O O
to O O O
check O O O
blood O O O
sugar O O O
pre-breakfast/pre-dinner. O O O
If O O O
sugar O O O
below O O O
100 O O O
pre-dinner, O O O
may O O O
decrease O O O
Glyburide NNP B-NP B-DRUG
evening O O O
dose. O O O
If O O O
sugar O O O
100 O O O
or O O O
greater, O O O
continue O O O
the O O O
10 O O O
mg O O O
dose O O O
with O O O
supper. O O O
(2)	HTN: O O O
Reasonable O O O
control. O O O
Continue O O O
current O O O
treatment. O O O
(3)	Epigastric O O O
pain: O O O
Currently O O O
stable, O O O
monitor. O O O
(4)	Routine O O O
health O O O
maintenance: O O O
UTD. O O O
Mammogram O O O
normal. O O O
(5)	Return O O O
to O O O
clinic O O O
in O O O
three O O O
months O O O
to O O O
Dr. O O O
Eng. O O O
Kimberly O O O
I O O O
Kidd, O O O
RNC, O O O
ANP O O O
KI/espinoza/nolen O O O

Record O O O
date: O O O
2064-02-25 O O O
INTERNAL O O O
MEDICINE O O O
ASSOCIATES O O O
CAPE O O O
CORAL O O O
HOSPITAL O O O
Personal O O O
data O O O
and O O O
overall O O O
health O O O
			 O O O
53-year-old O O O
white O O O
male O O O
with O O O
multiple O O O
medical O O O
problems O O O
on O O O
dialysis O O O
for O O O
control O O O
of O O O
fluid O O O
overload O O O
and O O O
hypertension O O O
in O O O
the O O O
setting O O O
of O O O
worsening O O O
renal O O O
dysfunction. O O O
Reason O O O
for O O O
visit O O O
			 O O O
worsening O O O
right O O O
foot O O O
ulcers O O O
History O O O
of O O O
present O O O
illness O O O
			 O O O
Ulcers O O O
noted O O O
over O O O
past O O O
month, O O O
increasing O O O
size, O O O
no O O O
fever---lateral O O O
aspect O O O
of O O O
heel O O O
and O O O
lateral O O O
aspect O O O
of O O O
4th O O O
toe. O O O
DM O O O
control O O O
fair O O O
Problem O O O
List O O O
(reviewed) O O O
Hepatitis O O O
c O O O
MAJOR O O O
Diabetes O O O
mellitus O O O
MAJOR O O O
Anemia O O O
MAJOR O O O
HISTORY O O O
OF O O O
Hypertension O O O
MAJOR O O O
Sinus O O O
tachycardia O O O
MAJOR O O O
Coronary O O O
artery O O O
disease O O O
MAJOR O O O
STATUS O O O
POST O O O
Pyelonephritis O O O
MAJOR O O O
HISTORY O O O
OF O O O
Chronic O O O
renal O O O
insufficiency O O O
MAJOR O O O
Migraine O O O
headache O O O
MAJOR O O O
HISTORY O O O
OF O O O
Chronic O O O
hepatitis O O O
MAJOR O O O
HISTORY O O O
OF O O O
Major O O O
Problems O O O
Hepatitis O O O
c O O O
Chronic---cirrhosis O O O
on O O O
CT. O O O
Diabetes O O O
mellitus O O O
Normal O O O
to O O O
low O O O
blood O O O
sugars. O O O
Running O O O
about O O O
140 O O O
On O O O
Insulin NNP B-NP B-DRUG
25u O O O
NPH NNP B-NP B-DRUG
q O O O
day O O O
and O O O
prn O O O
CZI NNP B-NP B-DRUG
with O O O
meals O O O
Anemia O O O
HISTORY O O O
OF O O O
This O O O
is O O O
chronic. O O O
He O O O
has O O O
had O O O
an O O O
extensive O O O
workup O O O
in O O O
the O O O
past---ACD O O O
due O O O
to O O O
renal O O O
disease---is O O O
currently O O O
on O O O
Epogen. NNP B-NP B-DRUG
Hypertension NNP B-NP B-DRUG
Again, NNP B-NP B-DRUG
it O O O
is O O O
a O O O
longstanding O O O
issue. O O O
Extensive O O O
workup O O O
negative O O O
including O O O
MRI O O O
of O O O
the O O O
renal O O O
arteries. O O O
BPs O O O
much O O O
improved O O O
now O O O
if O O O
anything O O O
low---so O O O
daughter O O O
has O O O
on O O O
her O O O
own O O O
reduced O O O
meds O O O
prescribed O O O
at O O O
DC. O O O
Occas O O O
orthostatic O O O
and O O O
BPs O O O
lower O O O
Sinus O O O
tachycardia O O O
Chronic. O O O
Etiology O O O
unclear. O O O
This O O O
has O O O
been O O O
present O O O
for O O O
many O O O
years. O O O
Coronary O O O
artery O O O
disease O O O
STATUS O O O
POST O O O
recent O O O
non-Q-wave O O O
MIs. O O O
Normal O O O
stress O O O
test O O O
and O O O
normal O O O
EF. O O O
Never O O O
cathd. O O O
Eval O O O
by O O O
Dr. O O O
Jeffers O O O
in O O O
the O O O
past O O O
Pyelonephritis O O O
HISTORY O O O
OF O O O
No O O O
recent O O O
UTIs O O O
Chronic O O O
renal O O O
insufficiency O O O
Now O O O
being O O O
dialyzed O O O
3 O O O
days O O O
per O O O
week/Mon-Wed-Fri O O O
with O O O
improvement O O O
in O O O
SOB O O O
and O O O
BP O O O
which O O O
were O O O
refractory O O O
to O O O
meds O O O
Migraine O O O
headache O O O
HISTORY O O O
OF O O O
He O O O
uses O O O
Fioricet NNP B-NP B-DRUG
PRN. O O O
Chronic O O O
hepatitis O O O
HISTORY O O O
OF O O O
type O O O
C. O O O
chronic- O O O
no O O O
signs O O O
of O O O
major O O O
liver O O O
dyfunction O O O
Allergies O O O
Allergy O O O
Current O O O
and O O O
listed O O O
in O O O
On-Call. O O O
No O O O
known O O O
drug O O O
allergy O O O
Allergies O O O
to O O O
medication O O O
none. O O O
Drug O O O
reaction O O O
Hydralazine NNP B-NP B-DRUG
leg O O O
edema O O O
but O O O
no O O O
actual O O O
allergic O O O
type O O O
rashes O O O
or O O O
shortness O O O
of O O O
breath. O O O
Active O O O
Medications O O O
Ascensia O O O
contour O O O
test O O O
strips O O O
aspirin NNP B-NP B-DRUG
325 O O O
mg O O O
qd O O O
calcium NNP B-NP B-DRUG
acetate NNP B-NP I-DRUG
133mg O O O
po O O O
tid O O O
Colace NNP B-NP B-DRUG
100 O O O
mg O O O
BID O O O
Cozaar NNP B-NP B-DRUG
100mg O O O
po O O O
qd O O O
Epogen NNP B-NP B-DRUG
sq O O O
qwk O O O
30000 O O O
Fioricet NNP B-NP B-DRUG
325/50/40mg O O O
po O O O
QD O O O
PRN O O O
Humulin NNP B-NP B-DRUG
r NNP B-NP I-DRUG
use O O O
prn O O O
fingersticks O O O
prior O O O
to O O O
meals O O O
Insulin NNP B-NP B-DRUG
syringes O O O
(lowdose) O O O
labetalol NNP B-NP B-DRUG
hcl NNP B-NP I-DRUG
300 O O O
mg O O O
BID O O O
Lancets O O O
Lipitor NNP B-NP B-DRUG
10mg O O O
po O O O
qd O O O
methadone NNP B-NP B-DRUG
5mg O O O
po O O O
BID O O O
Nephrocaps NNP B-NP B-DRUG
one O O O
po O O O
q O O O
day O O O
Neurontin NNP B-NP B-DRUG
300 O O O
mg O O O
PO O O O
BID O O O
Nexium NNP B-NP B-DRUG
20mg O O O
po O O O
qd O O O
take O O O
1h O O O
before O O O
meal O O O
nortriptyline NNP B-NP B-DRUG
10 O O O
mg O O O
po O O O
qhs O O O
Norvasc NNP B-NP B-DRUG
5mg O O O
po O O O
bid O O O
nph NNP B-NP B-DRUG
insulin NNP B-NP I-DRUG
humulin NNP B-NP B-DRUG
n NNP B-NP I-DRUG
SQ O O O
25u O O O
am O O O
and O O O
10 O O O
u O O O
pm O O O
Onetouch O O O
strips O O O
Oxycontin NNP B-NP B-DRUG
10mg O O O
sr O O O
po O O O
q O O O
6 O O O
hrs O O O
hours O O O
PRN O O O
do O O O
not O O O
cut/crush/chew O O O
Plavix NNP B-NP B-DRUG
75mg O O O
po O O O
qd O O O
prednisone NNP B-NP B-DRUG
10mg O O O
po O O O
qd O O O
renaphro NNP B-NP B-DRUG
po O O O
take O O O
1 O O O
cap O O O
daily O O O
senna NNP B-NP B-DRUG
2 O O O
teaspoons O O O
BID O O O
simethicone NNP B-NP B-DRUG
80mg O O O
po O O O
QID O O O
tizanidine NNP B-NP B-DRUG
2mg O O O
half O O O
po O O O
bid O O O
tramadol NNP B-NP B-DRUG
50 O O O
mg O O O
po O O O
q12h O O O
PRN O O O
pain O O O
Family O O O
history O O O
			 O O O
Notable O O O
for O O O
diabetes, O O O
hypertension, O O O
and O O O
hyperlipidemia. O O O
Social O O O
history O O O
			 O O O
He O O O
was O O O
previously O O O
the O O O
head O O O
statistical O O O
programmer O O O
for O O O
electronic O O O
data O O O
systems O O O
for O O O
many O O O
years O O O
and O O O
now O O O
disabled. O O O
He O O O
is O O O
married O O O
and O O O
has O O O
a O O O
daughter. O O O
Cigarettes, O O O
none O O O
times O O O
years. O O O
Alcohol, O O O
previously O O O
heavy. O O O
There O O O
was O O O
a O O O
history O O O
of O O O
previous O O O
illicit O O O
drug O O O
use. O O O
Cigarettes, O O O
none. O O O
Alcohol, O O O
rare. O O O
Habits/Risk O O O
Screening O O O
Smoking O O O
status: O O O
former O O O
smoker O O O
none O O O
times O O O
years. O O O
Alcohol O O O
use O O O
status: O O O
none/minimal O O O
Procedures O O O
and O O O
Immunizations O O O
Influenza O O O
vaccine O O O
11/63 O O O
Pneumovax O O O
1/19/2064 O O O
left O O O
arm O O O
Review O O O
of O O O
systems O O O
			 O O O
He O O O
denies O O O
chest O O O
pain, O O O
shortness O O O
of O O O
breath, O O O
or O O O
palpitations. O O O
His O O O
weight O O O
has O O O
stabilized. O O O
He O O O
has O O O
actually O O O
gained O O O
weight O O O
since O O O
his O O O
hospitalization. O O O
He O O O
has O O O
not O O O
had O O O
any O O O
problems O O O
with O O O
diarrhea O O O
and O O O
no O O O
urinary O O O
symptoms. O O O
Neurologically, O O O
he O O O
denies O O O
any O O O
falls O O O
or O O O
changes O O O
in O O O
his O O O
headaches, O O O
which O O O
continue O O O
but O O O
seem O O O
to O O O
be O O O
less O O O
frequent. O O O
He O O O
has O O O
had O O O
no O O O
bleeding O O O
disorders O O O
or O O O
easy O O O
bruising. O O O
Vision O O O
decreased O O O
as O O O
above. O O O
The O O O
rest O O O
of O O O
his O O O
review O O O
of O O O
systems O O O
is O O O
negative O O O
in O O O
detail. O O O
Physical O O O
examination O O O
Blood O O O
pressure O O O
130/82 O O O
no O O O
ortho O O O
change O O O
Pulse O O O
76 O O O
per O O O
minute O O O
Weight O O O
194 O O O
no O O O
change O O O
General O O O
appearance O O O
Thin O O O
middle-aged O O O
white O O O
male O O O
in O O O
no O O O
apparent O O O
distress O O O
Skin O O O
Notable O O O
for O O O
scattered O O O
excoriations O O O
Heent O O O
Eyes--pronounced O O O
right O O O
eye O O O
ptosis O O O
now O O O
much O O O
improved O O O
Neck O O O
thyroid O O O
without O O O
palpable O O O
nodules, O O O
normal O O O
texture O O O
and O O O
size, O O O
carotids O O O
without O O O
audible O O O
bruits O O O
Nodes O O O
No O O O
cervical, O O O
axillary O O O
or O O O
groin O O O
adenopathy O O O
appreciated. O O O
Chest O O O
no O O O
deformity, O O O
lungs O O O
clear O O O
Cor O O O
regular O O O
rate O O O
and O O O
rhythm, O O O
no O O O
audible O O O
murmurs O O O
or O O O
click O O O
Abdomen O O O
bowel O O O
sounds O O O
normal, O O O
no O O O
palpable O O O
hepatosplenomegaly O O O
Extrem O O O
No O O O
clubbing, O O O
cyanosis, O O O
edema. O O O
2+ O O O
pedal O O O
pulses. O O O
Neuro O O O
Oriented O O O
times O O O
3, O O O
Cranial O O O
nerves O O O
normal, O O O
speech O O O
normal, O O O
gait O O O
normal O O O
using O O O
cane, O O O
full O O O
strength O O O
Foot O O O
exam O O O
large O O O
superficial O O O
ulcerations O O O
lateral O O O
aspect O O O
right O O O
foot O O O
and O O O
4th O O O
toe, O O O
minimal O O O
cellulitis O O O
Preventive O O O
eye O O O
exam O O O
twice O O O
yearly O O O
with O O O
optho O O O
Mini O O O
mental O O O
state O O O
exam O O O
(best=30) O O O
intact O O O
without O O O
evidence O O O
of O O O
anxiety, O O O
depression, O O O
delusions O O O
or O O O
paranoid O O O
ideation O O O
Selected O O O
recent O O O
labs O O O
			 O O O
02/25/64 O O O
PLT O O O
116 O O O
L, O O O
02/25/64 O O O
HCT O O O
40.1 O O O
L, O O O
02/25/64 O O O
Glucose O O O
(Stat O O O
Lab) O O O
160 O O O
H, O O O
02/25/64 O O O
Creatinine O O O
(Stat O O O
Lab) O O O
6.5 O O O
H, O O O
02/25/64 O O O
BUN O O O
(Stat O O O
Lab) O O O
29 O O O
H, O O O
02/25/64 O O O
Potassium O O O
(Stat O O O
Lab) O O O
4.4 O O O
Assessment O O O
and O O O
plan O O O
			 O O O
Foot O O O
ulcers---needs O O O
admit, O O O
IV O O O
ABx, NNP B-NP B-DRUG
debridement? O O O
Cover O O O
DM O O O
with O O O
NPH NNP B-NP B-DRUG
and O O O
prn O O O
CZI. NNP B-NP B-DRUG
BP O O O
is O O O
OK. O O O
Will O O O
ask O O O
Dr. O O O
Urzua O O O
of O O O
Vasc O O O
Surg O O O
to O O O
see O O O
Mr. O O O
Kaufman--- O O O
LENIS O O O
or O O O
angio O O O
to O O O
eval O O O
flow O O O
to O O O
foot O O O
Signed O O O
electronically O O O
by O O O
Yeates, O O O
Patrick O O O
I O O O
on O O O
Feb O O O
25, O O O
2064 O O O

Record O O O
date: O O O
2097-01-17 O O O
Patient O O O
Name: O O O
KEATING,FRANK O O O
[ O O O
MRN: O O O
4832978HOB O O O
] O O O
Date O O O
of O O O
Visit: O O O
1/17/2097 O O O
BCH O O O
SURGERY O O O
EW O O O
EVALUATION O O O
HPI: O O O
Mr. O O O
Keating O O O
is O O O
a O O O
75 O O O
year-old O O O
male O O O
with O O O
a O O O
complex O O O
medical O O O
history O O O
which O O O
includes O O O
a O O O
history O O O
of O O O
a O O O
stage O O O
4 O O O
sacral O O O
decubitus O O O
ulcer, O O O
secondary O O O
to O O O
being O O O
bedridden O O O
due O O O
to O O O
paraplegia O O O
(due O O O
to O O O
injury O O O
in O O O
2066). O O O
His O O O
ulcer O O O
was O O O
eroding O O O
into O O O
his O O O
rectum O O O
and O O O
therefore O O O
he O O O
underwent O O O
sigmoid O O O
colostomy O O O
8/96 O O O
for O O O
diversion. O O O
He O O O
is O O O
also O O O
s/p O O O
ileal O O O
loop O O O
urostomy O O O
in O O O
the O O O
distant O O O
past. O O O
Was O O O
seen O O O
in O O O
plastics O O O
clinic O O O
today, O O O
decub O O O
progressing O O O
well, O O O
but O O O
poor O O O
POs, O O O
referred O O O
for O O O
admission. O O O
Denies O O O
N/V, O O O
has O O O
had O O O
normal O O O
ostomy O O O
output, O O O
denies O O O
abd O O O
pain, O O O
though O O O
he O O O
did O O O
have O O O
some O O O
cramping O O O
several O O O
days O O O
ago. O O O
His O O O
main O O O
complaint O O O
is O O O
long-standing O O O
back O O O
pain. O O O
Of O O O
note, O O O
he O O O
had O O O
been O O O
readmitted O O O
about O O O
2 O O O
weeks O O O
postop O O O
with O O O
distention O O O
and O O O
pain, O O O
CT O O O
showing O O O
partial O O O
SBO O O O
and O O O
a O O O
pelvic O O O
fluid O O O
collection, O O O
which O O O
was O O O
drained, O O O
cultures O O O
were O O O
sterile. O O O
Wife O O O
noted O O O
some O O O
discharge O O O
from O O O
midline O O O
wound O O O
several O O O
days O O O
ago, O O O
but O O O
this O O O
has O O O
ceased. O O O
PMH: O O O
Paraplegia, O O O
secondary O O O
to O O O
compression O O O
fracture O O O
in O O O
2066; O O O
Cervical O O O
spondylosis; O O O
Chronic O O O
obstructive O O O
pulmonary O O O
disease; O O O
Coronary O O O
artery O O O
disease, O O O
status O O O
post O O O
coronary O O O
artery O O O
bypass O O O
graft O O O
times O O O
3 O O O
in O O O
2087; O O O
Ileal O O O
loop, O O O
complicated O O O
by O O O
recurrent O O O
pyleonephritis; O O O
History O O O
of O O O
transient O O O
ischemic O O O
attack, O O O
status O O O
post O O O
bilateral O O O
carotid O O O
endarterectomies; O O O
Hypercholesterolemia; O O O
Insulin NNP B-NP B-DRUG
dependent O O O
diabetes O O O
mellitus; O O O
Disc O O O
herniation O O O
at O O O
the O O O
L4-5, O O O
L5-S1 O O O
levels; O O O
History O O O
of O O O
peptic O O O
ulcer O O O
disease O O O
with O O O
upper O O O
gastrointestinal O O O
bleed O O O
in O O O
2089, O O O
requiring O O O
packed O O O
red O O O
blood O O O
cells O O O
transfusion; O O O
Hemorrhoids; O O O
History O O O
of O O O
candida O O O
infection O O O
involving O O O
his O O O
ileal O O O
conduit; O O O
Status O O O
post O O O
left O O O
tibia O O O
fracture; O O O
Depression; O O O
Peripheral O O O
vascular O O O
disease, O O O
status O O O
post O O O
bilateral O O O
iliofemoral O O O
bypass. O O O
H/o O O O
Acute O O O
renal O O O
failure O O O
after O O O
cardiac O O O
catheterization O O O
Spinal O O O
cord O O O
infarction O O O
from O O O
embolic O O O
event O O O
PSH: O O O
1. O O O
C5-6 O O O
and O O O
C6-7 O O O
right O O O
foraminotomy O O O
in O O O
2081 O O O
2.	Laminectomy O O O
at O O O
L4-5 O O O
and O O O
L5-S1 O O O
in O O O
2081 O O O
3.	Bilateral O O O
carotid O O O
endarterectomies O O O
in O O O
2081 O O O
4. O O O
Coronary O O O
artery O O O
bypass O O O
grafting O O O
in O O O
2087 O O O
5.	11/24/95 O O O
underwent O O O
bilateral O O O
iliofemoral O O O
and O O O
renal O O O
artery O O O
stent O O O
placement O O O
6.	11/28/95 O O O
cardiac O O O
catheterization O O O
with O O O
a O O O
stent O O O
placed O O O
in O O O
the O O O
left O O O
circumflex O O O
artery O O O
7. O O O
Diverting O O O
colostomy O O O
8/23/96 O O O
Meds: O O O
o O O O
SIMVASTATIN NNP B-NP B-DRUG
(ZOCOR O O O
) O O O
20 O O O
MG O O O
PO O O O
QHS O O O
Last O O O
Dose O O O
Given: O O O
10/24/96 O O O
at O O O
08:00 O O O
am O O O
o O O O
CLOPIDOGREL NNP B-NP B-DRUG
(PLAVIX O O O
) O O O
75 O O O
MG O O O
PO O O O
QD O O O
Last O O O
Dose O O O
Given: O O O
10/24/96 O O O
at O O O
08:00 O O O
am O O O
o O O O
ESOMEPRAZOLE NNP B-NP B-DRUG
(NEXIUM O O O
) O O O
40 O O O
MG O O O
PO O O O
QD O O O
Last O O O
Dose O O O
Given: O O O
10/24/96 O O O
at O O O
08:00 O O O
am O O O
o O O O
ZOLPIDEM NNP B-NP B-DRUG
TARTRATE NNP B-NP I-DRUG
(AMBIEN O O O
) O O O
10 O O O
MG O O O
PO O O O
QHS O O O
PRN: O O O
insomnia O O O
o O O O
PAROXETINE NNP B-NP B-DRUG
(PAXIL O O O
) O O O
30 O O O
MG O O O
PO O O O
QD O O O
Last O O O
Dose O O O
Given: O O O
10/24/96 O O O
at O O O
08:00 O O O
am O O O
o O O O
INSULIN NNP B-NP B-DRUG
NPH NNP B-NP I-DRUG
HUMAN NNP B-NP I-DRUG
10 O O O
UNITS O O O
SC O O O
QAM O O O
BEFORE O O O
BREAKFAST O O O
Last O O O
Dose O O O
Given: O O O
10/24/96 O O O
at O O O
08:00 O O O
am O O O
o O O O
INSULIN NNP B-NP B-DRUG
NPH NNP B-NP I-DRUG
HUMAN NNP B-NP I-DRUG
16 O O O
UNITS O O O
SC O O O
QPM O O O
BEFORE O O O
SUPPER O O O
10/21/2096 O O O
(Thu) O O O
Routine O O O
x1 O O O
Last O O O
Dose O O O
Given: O O O
10/23/96 O O O
at O O O
08:00 O O O
am O O O
o O O O
INSULIN NNP B-NP B-DRUG
REGULAR NNP B-NP I-DRUG
HUMAN NNP B-NP I-DRUG
Sliding O O O
Scale O O O
If O O O
BS O O O
<= O O O
200 O O O
give O O O
0 O O O
Units O O O
; O O O
For O O O
BS O O O
from O O O
201 O O O
to O O O
250 O O O
give O O O
4 O O O
Units O O O
; O O O
For O O O
BS O O O
from O O O
251 O O O
to O O O
300 O O O
give O O O
6 O O O
Units O O O
; O O O
For O O O
BS O O O
from O O O
301 O O O
to O O O
350 O O O
give O O O
8 O O O
Units O O O
; O O O
For O O O
BS O O O
from O O O
351 O O O
to O O O
400 O O O
give O O O
10 O O O
Units O O O
; O O O
For O O O
BS O O O
> O O O
400 O O O
give O O O
12 O O O
Units O O O
and O O O
Call O O O
House O O O
MD O O O
; O O O
SC O O O
QID O O O
(AC O O O
+ O O O
HS) O O O
Last O O O
Dose O O O
Given: O O O
10/24/96 O O O
at O O O
12:00 O O O
pm O O O
o O O O
OXYCODONE NNP B-NP B-DRUG
5 NNP B-NP I-DRUG
MG/ACETAMINOPHEN NNP B-NP I-DRUG
325 NNP B-NP I-DRUG
MG NNP B-NP I-DRUG
(PERCOCET O O O
5 O O O
MG/325 O O O
MG O O O
) O O O
1-2 O O O
TAB O O O
PO O O O
Q4-6H O O O
PRN: O O O
pain O O O
Last O O O
Dose O O O
Given: O O O
10/24/96 O O O
at O O O
03:00 O O O
pm O O O
o O O O
AMLODIPINE NNP B-NP B-DRUG
(NORVASC O O O
) O O O
5 O O O
MG O O O
PO O O O
QD O O O
Last O O O
Dose O O O
Given: O O O
10/24/96 O O O
at O O O
08:00 O O O
am O O O
o O O O
LISINOPRIL NNP B-NP B-DRUG
(ZESTRIL O O O
) O O O
40 O O O
MG O O O
PO O O O
QD O O O
Last O O O
Dose O O O
Given: O O O
10/24/96 O O O
at O O O
08:00 O O O
am O O O
o O O O
DALTEPARIN NNP B-NP B-DRUG
SODIUM NNP B-NP I-DRUG
(FRAGMIN O O O
) O O O
5000 O O O
UNITS O O O
SC O O O
QD O O O
<DI> O O O
o O O O
METOPROLOL NNP B-NP B-DRUG
SUCCINATE NNP B-NP I-DRUG
EXTENDED NNP B-NP I-DRUG
RELEASE NNP B-NP I-DRUG
(TOPROL O O O
XL NNP B-NP I-DRUG
) O O O
400 O O O
MG O O O
PO O O O
QD O O O
<DI> O O O
o O O O
ISOSORBIDE NNP B-NP B-DRUG
MONONITRATE NNP B-NP I-DRUG
(SR) O O O
(IMDUR O O O
) O O O
60 O O O
MG O O O
PO O O O
QD O O O
Last O O O
Dose O O O
Given: O O O
10/24/96 O O O
at O O O
08:00 O O O
am O O O
o O O O
GABAPENTIN NNP B-NP B-DRUG
(NEURONTIN O O O
) O O O
100 O O O
MG O O O
PO O O O
QHS O O O
All: O O O
benzocaine NNP B-NP B-DRUG
spray O O O
-> O O O
methgbemia O O O
ROS: O O O
no O O O
neuro O O O
changes, O O O
weakness, O O O
slurred O O O
speech, O O O
etc O O O
no O O O
cough, O O O
SOB O O O
no O O O
chest O O O
pain, O O O
DOE O O O
has O O O
been O O O
seen O O O
for O O O
penile O O O
d/c O O O
by O O O
Dr O O O
Regan, O O O
who O O O
did O O O
not O O O
think O O O
he O O O
had O O O
any O O O
active O O O
lower O O O
urinary O O O
infection O O O
no O O O
diarrhea, O O O
vomiting O O O
PE: O O O
97.1 O O O
129/51 O O O
58 O O O
18 O O O
99ra O O O
comfortable, O O O
NAD O O O
Abd O O O
soft, O O O
NT, O O O
ND, O O O
well-healed O O O
midline O O O
incis O O O
with O O O
small O O O
dark O O O
scab, O O O
no O O O
fluctuance, O O O
no O O O
erythema, O O O
no O O O
discahrge O O O
urostomy O O O
clean, O O O
pink; O O O
ostomy O O O
pink, O O O
viable, O O O
thin O O O
tan O O O
stool, O O O
guiaic O O O
neg O O O
Labs: O O O
WBC O O O
15.3 O O O
H O O O
(4.5-11.0) O O O
th/cmm O O O
HCT O O O
26.2 O O O
L O O O
(41.0-53.0) O O O
% O O O
PLT O O O
375 O O O
H O O O
(150-350) O O O
th/cumm O O O
Poly O O O
87 O O O
H O O O
(40-70) O O O
% O O O
Sodium O O O
(Stat O O O
Lab) O O O
128 O O O
L O O O
(135-145) O O O
mmol/L O O O
Potassium O O O
